property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,ansals palam vihar,sector 2,5.7,14729.0,2.0,5,2,2.0,North-East,Old Property,4550.0,0,0,0,1,0,furnished,108
house,international city by sobha phase 2,sector 109,11.3,25111.0,2.0,5,4,4.0,East,Relatively New,4500.0,1,1,0,1,1,unfurnished,53
house,international city by sobha phase 2,sector 109,11.25,25000.0,2.0,5,4,4.0,North-East,Relatively New,4498.0,1,1,0,1,0,unfurnished,40
house,bptp visionnaire,sector 70,4.02,7309.0,1.0,4,4,3.0,North-East,Relatively New,5500.0,1,1,1,1,0,unfurnished,158
house,international city by sobha phase 1,sector 109,5.7,10556.0,1.0,4,4,4.0,East,Relatively New,5398.0,1,1,0,0,0,unfurnished,113
house,independent,sector 7,0.66,12000.0,1.0,1,1,3.0,East,Relatively New,550.0,0,0,0,0,1,unfurnished,19
house,huda ashok vihar phase,laxma,0.7,10234.0,2.0,2,1,2.0,North-East,New Property,684.0,1,0,0,0,0,unfurnished,7
house,ashok vihar phase 3 gurgaon,sector 3,0.95,8879.0,4.0,3,2,1.0,East,Old Property,1070.0,0,0,0,0,0,unfurnished,6
house,independent,sector 3,0.9,8929.0,3.0,1,0,1.0,East,Moderately Old,1008.0,0,0,0,0,0,unfurnished,0
house,independent,sector 41,7.0,28283.0,2.0,7,4,3.0,South-West,Moderately Old,2474.0,1,1,1,1,0,semifurnished,171
house,independent,sector 17,3.93,24214.0,5.0,17,3,4.0,North-West,Relatively New,1623.0,1,1,1,1,0,unfurnished,84
house,independent,sector 56,4.0,26613.0,2.0,4,4,2.0,North-East,Relatively New,1503.0,0,0,0,0,0,semifurnished,21
house,independent,sector 7,0.9,10000.0,2.0,4,3,3.0,North-East,Old Property,900.0,0,1,0,0,1,unfurnished,42
house,independent,sector 24,2.75,7667.0,2.0,7,4,3.0,North-East,Moderately Old,3000.0,0,0,0,0,1,semifurnished,0
house,prem kunj,sohna road,0.5,7407.0,2.0,4,3,3.0,South-West,Relatively New,725.0,0,0,0,1,0,unfurnished,28
house,independent,sector 6,0.5,8333.0,2.0,3,2,2.0,East,Moderately Old,600.0,0,0,0,1,0,unfurnished,0
house,independent,sector 105,0.6,13333.0,1.0,3,0,3.0,East,Moderately Old,450.0,0,0,0,0,0,unfurnished,0
house,independent,sector 3,0.5,11111.0,2.0,3,3,3.0,East,Moderately Old,450.0,0,0,0,0,0,unfurnished,0
house,independent,sector 105,0.35,7778.0,1.0,2,1,2.0,East,Moderately Old,556.0,0,0,0,0,0,unfurnished,0
house,dlf city plots,sector 26,4.0,40775.0,2.0,3,2,2.0,North-East,Relatively New,981.0,0,0,0,0,0,semifurnished,0
house,not applicable,sector 11,2.2,12222.0,4.0,3,2,1.0,South,Old Property,1799.0,1,0,0,1,0,unfurnished,22
house,independent,manesar,1.1,6173.0,8.0,8,0,1.0,North,New Property,1781.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,8.0,22222.0,4.0,5,4,1.0,North-East,Old Property,3599.0,1,1,0,1,0,semifurnished,28
house,independent,sector 8,0.82,9111.0,2.0,3,3,2.0,North,Moderately Old,900.0,0,0,0,0,0,unfurnished,12
house,independent,maruti kunj,0.7,4118.0,2.0,4,1,2.0,East,Moderately Old,1699.0,0,0,0,0,0,unfurnished,0
house,independent,sector 11,0.95,7308.0,5.0,3,0,1.0,South,Relatively New,1300.0,0,0,0,0,0,unfurnished,0
house,housing board colony,sector 28,3.5,25926.0,2.0,6,3,3.0,North,Relatively New,1350.0,0,0,0,0,0,unfurnished,0
house,independent,sector 26,6.0,33333.0,3.0,5,4,3.0,North-East,Old Property,1800.0,0,0,0,0,0,unfurnished,9
house,shivpuri,sector 7,2.8,12444.0,10.0,7,3,1.0,North-East,Old Property,2249.0,1,1,0,1,1,semifurnished,0
house,ansal heights,sector 92,2.75,9793.0,1.0,4,4,3.0,East,Relatively New,5000.0,1,0,0,1,0,unfurnished,0
house,spaze privy,sector 72,3.1,178258.0,0.0,5,4,21.0,East,Relatively New,3652.0,0,0,0,0,0,unfurnished,0
house,signature global park,sohna road,0.85,7589.0,3.0,2,2,1.0,North,Under Construction,1120.0,0,0,0,0,0,unfurnished,13
house,independent,sector 12,0.9,13333.0,2.0,4,0,2.0,East,Old Property,675.0,0,0,0,0,0,unfurnished,0
house,independent,sector 2,5.0,15385.0,6.0,6,2,1.0,South,Moderately Old,3611.0,0,0,0,0,0,unfurnished,0
house,independent,sector 14,5.0,22222.0,3.0,3,3,1.0,South,Moderately Old,2249.0,0,0,0,0,0,unfurnished,28
house,unitech uniworld resorts,sector 33,9.5,23336.0,2.0,7,4,2.0,East,Under Construction,4498.0,1,1,1,1,0,unfurnished,70
house,independent,sector 5,3.75,11029.0,2.0,5,4,3.0,North,Old Property,3400.0,0,0,0,0,0,unfurnished,0
house,rajendra park gurgaon,sector 105,0.37,10278.0,1.0,3,2,3.0,East,Relatively New,360.0,0,0,0,0,0,unfurnished,0
house,independent,sector 13,2.25,6944.0,10.0,10,2,1.0,East,Old Property,400.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,1.15,8519.0,2.0,3,2,2.0,North-East,Old Property,1350.0,0,0,0,1,0,unfurnished,19
house,independent,arju,0.49,11239.0,2.0,3,2,3.0,East,Moderately Old,360.0,0,0,0,0,0,unfurnished,6
house,house number b-34,sector 5,0.8,8889.0,2.0,2,1,1.0,North,Old Property,900.0,0,0,0,0,0,unfurnished,0
house,independent,sector 21,1.6,11852.0,2.0,5,2,3.0,East,Relatively New,120.0,0,0,0,0,0,unfurnished,0
house,independent,sector 26,7.0,39260.0,2.0,5,2,3.0,North-East,Relatively New,1783.0,0,1,0,0,0,unfurnished,9
house,independent,sector 9,0.5,6083.0,3.0,2,1,1.0,North-East,Old Property,822.0,0,0,0,0,0,unfurnished,0
house,independent,sector 21,0.45,8411.0,3.0,2,1,1.0,East,Old Property,594.0,0,0,0,0,0,unfurnished,0
house,ats tourmaline,sector 109,1.87,8698.0,0.0,4,0,12.0,North-East,Relatively New,2150.0,0,0,0,0,0,unfurnished,0
house,independent,sector 3,0.85,8500.0,1.0,1,0,1.0,East,Moderately Old,1000.0,0,0,0,0,0,unfurnished,0
house,bhawani enclave,maruti kunj,0.42,8235.0,2.0,3,0,2.0,East,New Property,567.0,0,0,0,1,0,unfurnished,0
house,independent,sector 105,1.2,13333.0,4.0,4,1,2.0,South-West,Moderately Old,900.0,0,0,0,0,1,semifurnished,13
house,independent,sector 50,6.5,21667.0,5.0,6,0,1.0,East,Moderately Old,3000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 105,1.35,3857.0,2.0,3,3,3.0,East,Moderately Old,3500.0,0,0,0,0,0,unfurnished,0
house,independent,sector 57,4.7,21759.0,2.0,3,2,2.0,North,Old Property,2159.0,0,1,0,0,1,unfurnished,40
house,independent,sector 9,0.22,7407.0,2.0,2,2,1.0,North-East,Old Property,37.0,0,0,0,0,0,unfurnished,0
house,independent,sector 9,1.25,8735.0,3.0,6,4,3.0,North-East,Old Property,1430.0,0,0,0,0,0,unfurnished,0
house,project mianwali colony,sector 12,1.7,9444.0,1.0,1,2,1.0,East,Old Property,2000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 2,6.0,20000.0,2.0,4,1,2.0,North,Relatively New,3000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 55,2.8,18667.0,2.0,4,0,2.0,East,New Property,1500.0,0,0,0,0,0,unfurnished,0
house,independent,sohna road,0.07,2527.0,1.0,1,0,1.0,North,Relatively New,297.0,0,0,0,0,0,unfurnished,0
house,independent,sector 38,3.5,24306.0,3.0,3,2,1.0,East,Relatively New,1440.0,0,0,0,0,0,unfurnished,0
house,project housing board colony,sector 28,2.58,17695.0,2.0,2,2,2.0,North,Relatively New,1458.0,0,0,0,0,0,unfurnished,0
house,independent,sector 21,0.6,6173.0,3.0,3,2,3.0,East,Old Property,972.0,0,0,0,0,0,unfurnished,0
house,independent,sector 9,1.1,55000.0,2.0,3,1,2.0,North-East,Old Property,200.0,0,0,0,0,0,unfurnished,0
house,independent,sector 12,2.5,13889.0,9.0,5,2,1.0,South-East,Old Property,1799.0,0,0,0,1,0,unfurnished,6
house,independent,sector 38,3.5,20325.0,3.0,2,2,1.0,East,Moderately Old,1722.0,0,0,0,0,0,unfurnished,0
house,huda plots,sector 56,2.95,20359.0,2.0,2,2,1.0,North,Moderately Old,1449.0,0,0,0,0,0,unfurnished,28
house,independent,sector 105,0.7,5833.0,3.0,2,2,1.0,East,Moderately Old,1200.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,1.16,11694.0,2.0,4,2,3.0,North-East,Moderately Old,1102.0,0,0,0,0,1,unfurnished,41
house,independent,sector 25,16.0,26667.0,2.0,5,2,3.0,East,Relatively New,6000.0,0,0,0,0,0,unfurnished,0
house,suncity essel towers,sector 28,8.95,17900.0,1.0,6,4,4.0,North,Moderately Old,4998.0,0,0,0,0,0,unfurnished,0
house,independent,sector 43,14.0,39886.0,2.0,9,4,4.0,North,Moderately Old,3509.0,0,1,0,0,0,unfurnished,6
house,independent,sector 7,1.35,40909.0,1.0,5,0,3.0,North-East,Old Property,330.0,0,0,0,0,0,unfurnished,0
house,independent,sector 50,13.2,27155.0,3.0,6,0,2.0,East,Moderately Old,4861.0,0,0,0,0,0,unfurnished,0
house,anamika enclave,sector 12,6.0,14493.0,3.0,9,4,3.0,North-West,Old Property,9000.0,0,0,0,0,0,unfurnished,9
house,not applicable,laxma,0.51,14167.0,1.0,4,3,4.0,East,New Property,360.0,0,0,0,0,0,unfurnished,0
house,independent,laxma,1.1,11111.0,3.0,4,1,2.0,North,Moderately Old,990.0,0,0,0,0,0,unfurnished,0
house,independent,sector 37,2.5,13158.0,2.0,5,4,2.0,East,Relatively New,1899.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,0.53,5889.0,2.0,2,0,1.0,North-East,Old Property,900.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,2.0,11111.0,1.0,2,1,2.0,North-East,Relatively New,1799.0,0,0,0,0,0,unfurnished,0
house,independent,sector 56,8.0,38619.0,2.0,10,4,4.0,North-East,Relatively New,8286.0,1,1,0,1,0,furnished,124
house,independent,sector 13,0.45,4808.0,1.0,1,0,1.0,East,Old Property,936.0,0,0,0,0,0,unfurnished,0
house,independent,sector 105,0.37,8222.0,2.0,2,1,1.0,East,Moderately Old,450.0,0,0,0,0,1,unfurnished,0
house,independent,sector 11,1.35,3857.0,3.0,6,4,3.0,South,Old Property,3499.0,0,0,0,0,0,unfurnished,0
house,independent,arju,0.62,11273.0,2.0,1,0,2.0,East,Relatively New,550.0,0,0,0,0,0,unfurnished,0
house,independent,sector 25,8.0,8000.0,1.0,9,2,3.0,East,New Property,11110.0,0,0,0,0,0,unfurnished,0
house,independent,sector 92,1.8,7627.0,0.0,5,0,13.0,East,Relatively New,2360.0,0,0,0,0,0,unfurnished,0
house,independent,sector 108,1.7,5667.0,4.0,4,4,1.0,North-East,Relatively New,3000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 3,0.55,5000.0,2.0,1,0,1.0,East,Moderately Old,1100.0,0,0,0,0,0,unfurnished,0
house,independent,sector 3,1.5,5000.0,6.0,1,0,1.0,East,New Property,3000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 109,1.55,6568.0,3.0,2,0,1.0,North-East,Relatively New,2360.0,0,0,0,0,0,unfurnished,0
house,independent,sector 17,0.32,22069.0,1.0,2,0,3.0,East,Old Property,145.0,0,0,0,0,0,unfurnished,0
house,independent,arju,1.6,28674.0,1.0,6,1,3.0,East,Relatively New,558.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,0.95,21111.0,1.0,1,1,3.0,North-East,New Property,450.0,0,0,0,0,0,unfurnished,12
house,independent,sector 6,0.66,10784.0,2.0,2,1,2.0,East,Old Property,612.0,0,0,0,0,0,unfurnished,32
house,independent,sector 104,0.45,12162.0,1.0,4,2,4.0,North,Moderately Old,1666.0,0,0,0,0,0,furnished,6
house,independent,sector 13,1.5,10519.0,1.0,2,2,3.0,South-West,Old Property,1425.0,1,0,0,1,0,unfurnished,13
house,independent,sector 17,1.52,19869.0,2.0,2,1,1.0,South-East,Old Property,105.0,0,0,0,0,0,unfurnished,19
house,independent,laxma,0.85,7522.0,3.0,3,0,1.0,East,Moderately Old,1130.0,0,0,0,0,0,unfurnished,0
house,independent,sector 7,0.45,5000.0,3.0,2,0,1.0,North-East,Old Property,1000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 39,5.15,14071.0,5.0,5,0,1.0,North-East,Relatively New,3660.0,0,0,0,0,0,unfurnished,0
house,sector 14 rwa,sector 14,6.5,26000.0,1.0,5,0,4.0,East,Moderately Old,2499.0,0,0,0,0,0,unfurnished,0
house,iffco nagar and 17b rwa,sector 17,3.5,24306.0,2.0,5,3,3.0,East,Old Property,1440.0,0,0,0,0,0,unfurnished,47
house,independent,sector 25,13.5,19286.0,9.0,9,0,1.0,East,Relatively New,7000.0,0,0,0,0,0,unfurnished,0
house,independent,sector 2,5.7,22637.0,3.0,9,4,3.0,North-East,Moderately Old,2429.0,0,0,0,1,0,semifurnished,0
house,independent,sector 7,1.75,11111.0,2.0,2,2,2.0,North-East,Old Property,1574.0,0,0,0,0,1,unfurnished,28
house,bhim garh kheri,sector 3,0.75,6410.0,2.0,2,2,2.0,West,Old Property,1170.0,0,0,0,0,0,unfurnished,15
house,independent,laxma,1.1,6111.0,4.0,4,4,2.0,West,Old Property,1799.0,0,0,0,0,0,unfurnished,6
house,independent,sector 10,4.25,17955.0,4.0,3,2,1.0,North-East,Moderately Old,2367.0,0,0,0,0,0,unfurnished,0
